2019-04-22 07:31:45,281 INFO     realtime
-2.899 2.373 -0.801
2019-04-22 07:31:46,584 INFO     
entered while loop in thread
2019-04-22 07:31:46,588 INFO     
new value sent:
2019-04-22 07:31:46,590 INFO     realtime
-2.968 2.457 -0.595
2019-04-22 07:31:47,893 INFO     
entered while loop in thread
2019-04-22 07:31:47,897 INFO     
new value sent:
2019-04-22 07:31:47,898 INFO     realtime
-2.968 2.411 -0.603
2019-04-22 07:31:49,201 INFO     
entered while loop in thread
2019-04-22 07:31:49,205 INFO     
new value sent:
2019-04-22 07:31:49,206 INFO     realtime
-2.907 2.411 -0.633
2019-04-22 07:31:50,050 INFO     Received noMonitor
2019-04-22 07:31:50,054 INFO     put quit into que.
2019-04-22 07:31:50,056 INFO     quitting
2019-04-22 07:32:04,870 INFO     Received 1
2019-04-22 07:32:04,871 INFO     motors running forward
2019-04-22 07:32:05,272 INFO     motors running forward
2019-04-22 07:32:05,751 INFO     motors running forward
2019-04-22 07:32:07,519 INFO     Received stop
2019-04-22 07:32:07,521 INFO     motors running forward
2019-04-22 07:32:07,852 INFO     motors running forward
2019-04-22 07:32:08,108 INFO     motors running forward
2019-04-22 07:32:08,286 INFO     Motors stopping...
2019-04-22 07:32:11,033 INFO     Received 1
2019-04-22 07:32:11,034 INFO     motors running forward
2019-04-22 07:32:11,436 INFO     motors running forward
2019-04-22 07:32:11,915 INFO     motors running forward
2019-04-22 07:32:14,023 INFO     Received stop
2019-04-22 07:32:14,024 INFO     motors running forward
2019-04-22 07:32:14,356 INFO     motors running forward
2019-04-22 07:32:14,611 INFO     motors running forward
2019-04-22 07:32:14,790 INFO     Motors stopping...
2019-04-22 07:32:19,870 INFO     Received 1
2019-04-22 07:32:19,872 INFO     motors running forward
2019-04-22 07:32:20,273 INFO     motors running forward
2019-04-22 07:32:20,752 INFO     motors running forward
2019-04-22 07:32:23,113 INFO     Received stop
2019-04-22 07:32:23,114 INFO     motors running forward
2019-04-22 07:32:23,447 INFO     motors running forward
2019-04-22 07:32:23,702 INFO     motors running forward
2019-04-22 07:32:23,881 INFO     Motors stopping...
2019-04-22 07:32:43,870 INFO     Received 1
2019-04-22 07:32:43,871 INFO     motors running forward
2019-04-22 07:32:44,273 INFO     motors running forward
2019-04-22 07:32:44,751 INFO     motors running forward
2019-04-22 07:32:45,306 INFO     Received stop
2019-04-22 07:32:45,316 INFO     motors running forward
2019-04-22 07:32:45,648 INFO     motors running forward
2019-04-22 07:32:45,903 INFO     motors running forward
2019-04-22 07:32:46,082 INFO     Motors stopping...
2019-04-22 07:40:28,965 ERROR    Traceback (most recent call last):
2019-04-22 07:40:28,966 ERROR      File "uus.py", line 276, in <module>
2019-04-22 07:40:28,969 ERROR    gyro_data = ninedof[1]
2019-04-22 07:40:28,969 ERROR      File "uus.py", line 182, in main
2019-04-22 07:40:28,972 ERROR    accept_connection(server_sock)
2019-04-22 07:40:28,972 ERROR      File "uus.py", line 268, in accept_connection
2019-04-22 07:40:28,975 ERROR    motor.stop_motors()
2019-04-22 07:40:28,976 ERROR      File "/usr/local/lib/python3.5/dist-packages/bluetooth/bluez.py", line 167, in accept
2019-04-22 07:40:28,981 ERROR    client, addr = self._sock.accept ()
2019-04-22 07:40:28,982 ERROR    KeyboardInterrupt
2019-04-22 07:40:28,985 ERROR    Exception ignored in:
2019-04-22 07:40:28,986 ERROR    <__main__.LoggerHelper object at 0x7097af70>
2019-04-22 07:40:28,987 ERROR    AttributeError
2019-04-22 07:40:28,988 ERROR    :
2019-04-22 07:40:28,988 ERROR    'LoggerHelper' object has no attribute 'flush'
2019-04-22 07:40:30,905 INFO     setup_logging done
2019-04-22 07:40:40,992 INFO     slept enough
2019-04-22 07:40:40,993 INFO     Waiting for RFCOMM connection!!!
2019-04-22 07:41:01,077 INFO     client_sock
2019-04-22 07:41:01,078 INFO     <bluetooth.bluez.BluetoothSocket object at 0x70838750>
2019-04-22 07:41:01,078 INFO     client_info
2019-04-22 07:41:01,079 INFO     ('F0:0F:EC:1F:89:8E', 1)
2019-04-22 07:41:01,080 INFO     slept enough
2019-04-22 07:41:01,082 INFO     Waiting for RFCOMM connection!!!
2019-04-22 07:41:01,401 INFO     Entered threaded client
2019-04-22 07:41:05,902 INFO     Received 1
2019-04-22 07:41:05,903 INFO     motors running forward
2019-04-22 07:41:06,116 INFO     motors running forward
2019-04-22 07:41:06,394 INFO     motors running forward
2019-04-22 07:41:06,749 INFO     motors running forward
2019-04-22 07:41:10,461 INFO     Received stop
2019-04-22 07:41:10,462 INFO     motors running forward
2019-04-22 07:41:10,793 INFO     motors running forward
2019-04-22 07:41:11,048 INFO     Motors stopping...
2019-04-22 07:41:33,368 INFO     Received 1
2019-04-22 07:41:33,369 INFO     motors running forward
2019-04-22 07:41:33,570 INFO     motors running forward
2019-04-22 07:41:33,848 INFO     motors running forward
2019-04-22 07:41:34,203 INFO     motors running forward
2019-04-22 07:41:36,767 INFO     Received stop
2019-04-22 07:41:36,768 INFO     motors running forward
2019-04-22 07:41:37,107 INFO     motors running forward
2019-04-22 07:41:37,362 INFO     Motors stopping...
2019-04-22 07:41:45,868 INFO     Received 4
2019-04-22 07:41:45,870 INFO     motors running forward
2019-04-22 07:41:46,071 INFO     motors running forward
2019-04-22 07:41:46,350 INFO     motors running forward
2019-04-22 07:41:46,704 INFO     motors running forward
2019-04-22 07:41:47,904 INFO     Received stop
2019-04-22 07:41:47,905 INFO     motors running forward
2019-04-22 07:41:48,237 INFO     motors running forward
2019-04-22 07:41:48,492 INFO     Motors stopping...
2019-04-22 07:43:28,029 ERROR    Traceback (most recent call last):
2019-04-22 07:43:28,030 ERROR      File "uus.py", line 303, in <module>
2019-04-22 07:43:28,033 ERROR      File "uus.py", line 182, in main
2019-04-22 07:43:28,035 ERROR    accept_connection(server_sock)
2019-04-22 07:43:28,035 ERROR      File "uus.py", line 295, in accept_connection
2019-04-22 07:43:28,038 ERROR      File "/usr/local/lib/python3.5/dist-packages/bluetooth/bluez.py", line 167, in accept
2019-04-22 07:43:28,041 ERROR    client, addr = self._sock.accept ()
2019-04-22 07:43:28,042 ERROR    KeyboardInterrupt
2019-04-22 07:43:28,043 ERROR    Exception ignored in:
2019-04-22 07:43:28,045 ERROR    <__main__.LoggerHelper object at 0x70838a30>
2019-04-22 07:43:28,046 ERROR    AttributeError
2019-04-22 07:43:28,047 ERROR    :
2019-04-22 07:43:28,048 ERROR    'LoggerHelper' object has no attribute 'flush'
2019-04-22 07:43:29,745 INFO     setup_logging done
2019-04-22 07:43:39,825 INFO     slept enough
2019-04-22 07:43:39,826 INFO     Waiting for RFCOMM connection!!!
2019-04-22 07:44:36,298 INFO     client_sock
2019-04-22 07:44:36,299 INFO     <bluetooth.bluez.BluetoothSocket object at 0x709b6d70>
